genus_name,expected_dna_fraction,"KmerFormer 6-mer, 8 layers","KmerFormer 6-mer, 16 layers","KmerFormer 6-mer, 29 layers","KmerFormer 13-mer exact, 16 l.","KmerFormer 13-mer hashed d128, 1 l.","KmerFormer 13-mer hashed d128, 16 l.","KmerFormer 13-mer hashed d64, 16 l.",MetaTransformer 13-mer,MetaTransformer 6-mer,NT-v2 500M + LoRA,Kraken 2 + Bracken
Morganella,0.0,0.00019266666666666667,0.00017933333333333335,0.00016166666666666668,0.0002593333333333333,3.066666666666667e-05,6.166666666666667e-05,0.00014866666666666666,0.000244,0.00024533333333333335,0.00016166666666666668,1e-05
Negativicoccus,0.0,7.333333333333333e-05,9.2e-05,8.933333333333333e-05,0.000124,2.333333333333333e-06,9e-06,2.6666666666666667e-05,5.333333333333334e-06,7.933333333333333e-05,6.266666666666667e-05,4e-05
Neisseria,0.0,4.6e-05,5.5333333333333334e-05,6e-05,0.0003296666666666667,1.2e-05,4.266666666666667e-05,3.866666666666667e-05,3.6666666666666666e-05,0.000106,4.1666666666666665e-05,0.0
Nesterenkonia,0.0,0.00019533333333333333,0.000219,0.000234,0.00019266666666666667,9.233333333333333e-05,0.00012666666666666666,0.000117,0.00018733333333333332,0.00014466666666666667,0.00018266666666666667,0.0
Odoribacter,0.0,0.0024013333333333334,0.0025933333333333333,0.0024666666666666665,0.0027283333333333335,0.0012606666666666667,0.0017196666666666667,0.0018386666666666666,0.002002,0.002459,0.0020566666666666667,0.00015999999999999999
Olsenella,0.0,0.0002933333333333333,0.00032033333333333333,0.00041,0.0011253333333333334,0.0005793333333333333,0.000629,0.000559,0.0009126666666666667,0.000353,0.000336,0.00018
Oribacterium,0.0,6.333333333333333e-05,7.366666666666666e-05,7.6e-05,0.000418,3.6e-05,6.1e-05,3.5333333333333336e-05,2.9333333333333333e-05,9.333333333333333e-05,5.1e-05,7e-05
Oscillibacter,0.0,0.026869333333333332,0.026471333333333333,0.026498,0.014118,0.013015333333333334,0.016869,0.013395,0.013408666666666666,0.01725,0.027091333333333332,0.00355
Oxalobacter,0.0,0.000311,0.000334,0.0003336666666666667,0.000777,6.8e-05,0.000174,0.00043233333333333334,0.000164,0.000539,0.00030966666666666664,0.0
Paenibacillus,0.0,0.00021933333333333334,0.000278,0.00036133333333333335,0.002802666666666667,0.00025133333333333333,0.0003586666666666667,0.000173,0.0016366666666666667,0.00012566666666666667,0.000277,3e-05
Pantoea,0.0,0.000167,0.00017466666666666667,0.000173,0.000432,0.00016666666666666666,0.00048,0.0004493333333333333,0.00015333333333333334,0.00028933333333333334,0.00013333333333333334,3.0000000000000004e-05
Parabacteroides,0.0737508688452587,0.013765,0.015428,0.01581166666666667,0.013029,0.011645666666666667,0.009547,0.010907,0.013054,0.008198,0.01393,0.00613
Paraprevotella,0.0,0.00017633333333333333,0.000296,0.000353,0.0012236666666666667,0.000221,0.000338,0.0005753333333333333,0.0013093333333333334,8.033333333333334e-05,0.00016033333333333335,4e-05
Pediococcus,0.0,4.233333333333333e-05,4.8e-05,5.9e-05,7.866666666666666e-05,7.333333333333333e-06,3.6e-05,3.8e-05,4.4e-05,6.4e-05,3.3333333333333335e-05,0.0
Pelosinus,0.0,0.00023033333333333334,0.000309,0.00035066666666666666,0.002313,0.000157,0.00016266666666666667,0.000286,0.00015266666666666667,2.4e-05,0.000238,0.00011
Peptoniphilus,0.0,0.0012106666666666667,0.0011156666666666667,0.001038,0.0009446666666666667,0.00029866666666666664,0.0008996666666666667,0.00042866666666666666,0.00010333333333333333,0.0008293333333333333,0.000767,0.00018
Peptostreptococcus,0.0,4.566666666666667e-05,5.8666666666666665e-05,6.6e-05,0.000228,1.6666666666666667e-05,4.7333333333333336e-05,2.1e-05,1.0666666666666667e-05,0.0,3.266666666666666e-05,0.0
Phascolarctobacterium,0.0,0.005669,0.005273333333333333,0.005121333333333334,0.005594,0.001738,0.002046,0.002799666666666667,0.0008653333333333333,0.006986,0.004960666666666667,0.00092
Phyllobacterium,0.0,5.7e-05,8.6e-05,8.333333333333333e-05,0.001079,0.00011566666666666667,0.000139,0.00018666666666666666,0.00032866666666666667,8.1e-05,7.8e-05,2e-05
Porphyromonas,0.0,0.002006,0.001693,0.001617,0.0006286666666666667,0.000313,0.000603,0.000299,0.0003826666666666667,0.005718,0.0016833333333333333,0.00012
Prevotella,0.0537787851759749,0.067738,0.067412,0.068663,0.079658,0.09211933333333333,0.092781,0.096216,0.07945866666666666,0.053933,0.07008533333333333,0.08253
Propionibacterium,0.0,0.00019266666666666667,0.00020633333333333333,0.000206,0.00032333333333333335,0.00013266666666666667,0.000217,0.000234,0.000234,0.00029066666666666667,0.000214,2e-05
Propionimicrobium,0.0,7.533333333333334e-05,7.233333333333333e-05,8.433333333333333e-05,0.0002643333333333333,9e-05,0.00023233333333333333,0.000105,6.4e-05,5.6e-05,5.8e-05,5e-05
Proteus,0.0,9.7e-05,0.00010466666666666667,0.00011233333333333333,0.00041733333333333336,8.3e-05,0.00014266666666666667,8.433333333333333e-05,0.00011333333333333333,2.0333333333333334e-05,8.9e-05,0.0
Providencia,0.0,0.0012533333333333333,0.0012636666666666666,0.0012726666666666667,0.002427,0.000697,0.0019206666666666667,0.0014143333333333334,0.0014953333333333333,0.0023393333333333335,0.0013463333333333333,0.0
Pseudobutyrivibrio,0.0,0.00025833333333333334,0.000373,0.00045966666666666665,0.0010806666666666666,0.00010033333333333334,0.0003373333333333333,0.000265,0.00014733333333333333,0.000148,0.00025233333333333336,0.00036
Pseudomonas,0.0,0.000637,0.000637,0.0006773333333333333,0.0035526666666666666,0.0011983333333333334,0.0014463333333333333,0.0013516666666666666,0.003454,0.000334,0.000664,2e-05
Ralstonia,0.0,7.733333333333333e-05,0.00010066666666666667,0.00011333333333333333,0.000455,8.933333333333333e-05,0.00020933333333333334,0.000191,0.000134,1.2333333333333333e-05,8.666666666666667e-05,0.0
Robinsoniella,0.0,0.0010136666666666666,0.001832,0.0019806666666666666,0.0034473333333333335,0.001003,0.000907,0.0006583333333333334,0.0027213333333333334,0.000144,0.0010166666666666666,0.00403
Roseburia,0.050704250331261,0.007490666666666666,0.008117333333333334,0.008243666666666667,0.008987333333333333,0.005419666666666666,0.008224333333333333,0.008884,0.003398,0.005686,0.007162666666666667,0.00301
Rothia,0.0,0.00014966666666666665,0.000181,0.00018133333333333334,0.00012733333333333333,1.8666666666666665e-05,4e-05,2.6666666666666667e-05,2.5333333333333334e-05,5.0333333333333335e-05,0.00014166666666666668,8e-05
Ruminococcus,0.0539137744742103,0.032411666666666665,0.03407866666666667,0.034374,0.042146333333333334,0.043619333333333336,0.04487833333333333,0.04696366666666667,0.036692666666666665,0.02744366666666667,0.03313566666666667,0.01529
Sanguibacteroides,0.0,0.00023166666666666667,0.000309,0.0003646666666666667,0.00020833333333333335,1.5e-05,7.566666666666667e-05,2.1333333333333335e-05,0.000162,0.00012166666666666667,0.00023366666666666666,3e-05
Selenomonas,0.0,0.0006273333333333334,0.0006993333333333334,0.0007663333333333334,0.001642,0.00025133333333333333,0.0008003333333333333,0.000504,0.000396,0.0005836666666666667,0.0007273333333333333,0.0008100000000000001
Slackia,0.0,0.0002843333333333333,0.000277,0.00031966666666666667,0.0007203333333333334,0.00023433333333333333,0.0005693333333333334,0.0003066666666666667,0.00019133333333333334,0.00032033333333333333,0.00022833333333333334,0.00033
Sneathia,0.0,9.333333333333333e-06,2.3333333333333332e-05,2.1666666666666667e-05,0.00011366666666666666,3.6666666666666666e-06,1.4e-05,7.033333333333334e-05,0.0,0.0,4.333333333333333e-06,0.0
Solobacterium,0.0,0.03349933333333333,0.029619333333333334,0.028986333333333333,0.020415333333333334,0.015951,0.021448666666666668,0.023219333333333335,0.00946,0.04227033333333333,0.03381,0.00474
Sporolactobacillus,0.0,6.3e-05,7.9e-05,8.5e-05,0.00047066666666666665,2.8666666666666668e-05,5.2333333333333336e-05,8.366666666666666e-05,3.4e-05,6.2e-05,6.933333333333333e-05,1e-05
Staphylococcus,0.0,0.004073,0.004091333333333333,0.0039016666666666666,0.0033223333333333334,0.0005096666666666666,0.0016893333333333333,0.003608333333333333,0.000372,0.0035183333333333334,0.004138333333333333,5e-05
Streptococcus,0.0299606860164617,0.019579,0.020791333333333332,0.021158,0.024006666666666666,0.023979,0.023938333333333332,0.020304666666666665,0.027644666666666668,0.022355666666666666,0.020854666666666667,0.04303
Streptomyces,0.0,0.000185,0.000166,0.000136,0.0007156666666666666,0.00044333333333333334,0.0005393333333333333,0.000695,0.001316,0.00027133333333333333,0.00014366666666666667,0.0
Subdoligranulum,0.0,0.000196,0.000294,0.00034166666666666666,0.001189,0.00012266666666666668,0.000365,0.00022833333333333334,8.533333333333334e-05,0.00026766666666666665,0.00016366666666666667,0.00031
Succinatimonas,0.0,0.001141,0.001238,0.001082,0.0009666666666666667,0.00011633333333333333,0.000646,0.00033133333333333333,5.6666666666666664e-05,0.0019366666666666666,0.0012313333333333334,3e-05
Succiniclasticum,0.0,0.0018426666666666667,0.0017413333333333332,0.0018093333333333334,0.0022966666666666665,0.0003786666666666667,0.000763,0.0016056666666666667,0.00017466666666666667,0.000774,0.0018726666666666666,0.0001
Sutterella,0.0,0.004174333333333334,0.004418666666666667,0.004326,0.00292,0.003994666666666666,0.0052506666666666665,0.005444333333333333,0.0020626666666666666,0.00652,0.004456,0.0003
Treponema,0.0,0.0007053333333333333,0.0007463333333333333,0.0006396666666666666,0.0012683333333333333,0.00015833333333333332,0.00024,0.0004516666666666667,7.866666666666666e-05,0.0017296666666666667,0.0005903333333333333,0.0001
Veillonella,0.032291055664741,0.054554,0.05474,0.055983333333333336,0.053029,0.04903966666666667,0.049862333333333335,0.04490633333333333,0.056037333333333335,0.06097366666666667,0.057625,0.08746000000000001
Weissella,0.0,5.6666666666666664e-05,7.133333333333334e-05,7.366666666666666e-05,0.00020366666666666667,1.2666666666666667e-05,5.2333333333333336e-05,0.00018666666666666666,3.6e-05,4e-06,3.6e-05,0.0
Xylanibacter,0.0,9e-05,0.00019033333333333334,0.00020666666666666666,0.00036766666666666664,6.0666666666666666e-05,6.9e-05,0.00010633333333333333,6e-05,0.0,7.933333333333333e-05,0.00035999999999999997
