# The 1,316 of the catalogue's 1,535 species that are present in the
# Kraken 2 index used for the coverage-matched comparison. The other 219
# are GCF accessions whose FASTAs were not available locally when the
# index was built, so reads from them cannot be classified and are
# excluded from read-accuracy comparisons against Kraken 2.
#
# Keyed by species_name, which is pool-independent: the same list masks
# either 100K pool. species_class here is the catalogue index and is NOT
# the same numbering as a pool's species_class column -- join on the name.
species_name	species_class	genus_name
UMGS2021	966	Collinsella
UMGS2022	967	Lactobacillus
UMGS2024	968	Phascolarctobacterium
UMGS2025	969	Roseburia
UMGS2027	970	Prevotella
UMGS2028	971	Streptococcus
UMGS2029	972	Collinsella
UMGS2030	973	Butyricicoccus
UMGS2033	974	Coprococcus
UMGS2034	975	Prevotella
UMGS2035	976	Veillonella
UMGS2039	977	Dialister
UMGS204	978	Collinsella
UMGS2040	979	Porphyromonas
UMGS2041	980	Atopobium
UMGS2042	981	Bacteroides
UMGS2043	982	Collinsella
UMGS2044	983	Veillonella
UMGS2047	984	Collinsella
UMGS2048	985	Solobacterium
UMGS2049	986	Solobacterium
UMGS205	987	Aeromonas
UMGS2050	988	Collinsella
UMGS2051	989	Prevotella
UMGS2052	990	Collinsella
UMGS2053	991	Clostridium
UMGS2056	992	Clostridium
UMGS2058	993	Collinsella
UMGS2059	994	Collinsella
UMGS206	995	Alistipes
UMGS2062	996	Streptococcus
UMGS2063	997	Sutterella
UMGS2064	998	Collinsella
UMGS2066	999	Collinsella
UMGS2067	1000	Faecalibacterium
UMGS2071	1001	Actinomyces
UMGS2074	1002	Veillonella
UMGS2075	1003	Bacteroides
UMGS2076	1004	Franconibacter
UMGS2079	1005	Blautia
UMGS208	1006	Parabacteroides
UMGS212	1007	Bacteroides
UMGS215	1008	Dialister
UMGS218	1009	Bacteroides
UMGS219	1010	Bacteroides
UMGS220	1011	Anaeromassilibacillus
UMGS222	1012	Clostridium
UMGS223	1013	Azospirillum
UMGS227	1014	Barnesiella
UMGS228	1015	Clostridium
UMGS229	1016	Clostridium
UMGS235	1017	Eggerthella
UMGS239	1018	Prevotella
UMGS24	1019	Megasphaera
UMGS240	1020	Clostridium
UMGS242	1021	Actinomyces
UMGS244	1022	Prevotella
UMGS248	1023	Robinsoniella
UMGS249	1024	Clostridium
UMGS250	1025	Desulfovibrio
UMGS252	1026	Actinomyces
UMGS253	1027	Faecalibacterium
UMGS254	1028	Acidaminococcus
UMGS255	1029	Phascolarctobacterium
UMGS256	1030	Collinsella
UMGS257	1031	Lachnospira
UMGS258	1032	Lactobacillus
UMGS26	1033	Eggerthella
UMGS269	1034	Catenibacterium
UMGS270	1035	Catenibacterium
UMGS271	1036	Robinsoniella
UMGS272	1037	Eggerthella
UMGS275	1038	Clostridium
UMGS276	1039	Blautia
UMGS277	1040	Bacteroides
UMGS278	1041	Prevotella
UMGS281	1042	Megasphaera
UMGS282	1043	Parabacteroides
UMGS283	1044	Ruminococcus
UMGS284	1045	Collinsella
UMGS287	1046	Prevotella
UMGS288	1047	Bacteroides
UMGS289	1048	Collinsella
