level	model	genus	n_reads	read_acc	n_training_species_in_genus	mean_max_ani
L1_strain	nb_6mer	Massiliomicrobiota	549	0.3806921675774135	1	98.301985428051
L1_strain	nb_6mer	Megasphaera	545	0.21284403669724772	13	97.7865504587156
L1_strain	nb_6mer	Negativicoccus	258	0.3488372093023256	1	97.59
L1_strain	nb_6mer	Odoribacter	262	0.20610687022900764	7	98.44
L1_strain	nb_6mer	Pantoea	287	0.2857142857142857	4	98.89000000000001
L1_strain	nb_6mer	Parabacteroides	541	0.12014787430683918	16	97.78149722735675
L1_strain	nb_6mer	Paraprevotella	565	0.1663716814159292	4	98.27801769911505
L1_strain	nb_6mer	Pediococcus	259	0.3745173745173745	1	97.34
L1_strain	nb_6mer	Peptoniphilus	526	0.30228136882129275	9	96.60731939163497
L1_strain	nb_6mer	Phascolarctobacterium	264	0.19318181818181818	16	98.88000000000001
L1_strain	nb_6mer	Phyllobacterium	258	0.27906976744186046	1	96.99
L1_strain	nb_6mer	Porphyromonas	266	0.35714285714285715	12	97.33
L1_strain	nb_6mer	Proteus	294	0.1360544217687075	1	98.97000000000003
L1_strain	nb_6mer	Providencia	241	0.18672199170124482	5	98.66000000000001
L1_strain	nb_6mer	Ralstonia	249	0.3172690763052209	1	95.71000000000001
L1_strain	nb_6mer	Roseburia	540	0.17407407407407408	15	98.69399999999999
L1_strain	nb_6mer	Ruminococcus	279	0.27598566308243727	64	97.88
L1_strain	nb_6mer	Sneathia	257	0.5603112840466926	1	98.63000000000001
L1_strain	nb_6mer	Sutterella	266	0.22180451127819548	28	98.14000000000001
L1_strain	nb_6mer	Veillonella	580	0.34655172413793106	22	95.8905
L1_strain	nb_6mer	Weissella	300	0.17	1	97.49
L1_strain	L29	Achromobacter	5000	0.5152	1	98.47000000000003
L1_strain	L29	Acidaminococcus	5000	0.6176	7	97.40999999999998
L1_strain	L29	Adlercreutzia	5000	0.1822	1	96.07
L1_strain	L29	Alistipes	9999	0.7472747274727473	38	98.41
L1_strain	L29	Anaeromassilibacillus	10000	0.2602	3	98.795
